"id","sex","grade","school","class_id","condition","status","total_points","fwd_att","bwd_att"
"ppr537","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"ppr538","F","fifth","school1","school1_fifth","paper","rejected",NA,NA,NA
"pprk01","M","kinder","school1","school1_kinder","paper","atypical",0,3,0
"pprk02","F","kinder","school1","school1_kinder","paper","participant",4,1,0
"pprk03","F","kinder","school1","school1_kinder","paper","participant",3,2,0
"pprk04","M","kinder","school1","school1_kinder","paper","participant",4,1,0
"pprk05","M","kinder","school1","school1_kinder","paper","participant",5,1,0
"pprk06","F","kinder","school1","school1_kinder","paper","participant",6,1,0
"pprk07","M","kinder","school1","school1_kinder","paper","participant",4,2,0
"pprk08","F","kinder","school1","school1_kinder","paper","participant",4,1,0
"pprk09","M","kinder","school1","school1_kinder","paper","participant",5,1,0
"pprk10","M","kinder","school1","school1_kinder","paper","rejected",NA,NA,NA
"pprk11","F","kinder","school1","school1_kinder","paper","rejected",NA,NA,NA
"pprk12","M","kinder","school1","school1_kinder","paper","participant",5,2,0
"pprk13","M","kinder","school1","school1_kinder","paper","participant",0,3,0
"pprk14","M","kinder","school1","school1_kinder","paper","participant",4,1,0
"pprk15","M","kinder","school1","school1_kinder","paper","participant",3,2,0
"pprk16","F","kinder","school1","school1_kinder","paper","participant",2,2,0
"pprk17","F","kinder","school1","school1_kinder","paper","participant",5,2,0
"pprk18","F","kinder","school1","school1_kinder","paper","participant",4,1,0
"pprk19","F","kinder","school1","school1_kinder","paper","participant",4,2,0
