"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctlk13","F","kinder","school4","school4_kinder","control_1","participant",1,4490,1,3175,1,3701,1,2531,1,2901,1,2492,1,1690,1,2155,1,1530,1,2395,1,2009,1,1873,1,7268,1,4418,1,3015,1,4401,1,2568,1,3063,1,4198,1,2459,1,3236,1,3274,1,2767,1,2495,5.15884706730236,1,3087.66666666667
"ctlk14","M","kinder","school4","school4_kinder","control_1","participant",1,4748,1,3297,1,2239,1,1864,0,2861,1,2624,1,2130,1,2364,1,3307,1,2716,1,4217,1,1925,1,4861,1,3793,1,1531,1,3570,1,2008,1,2354,1,1614,1,1559,0,5435,1,7017,1,2671,1,1243,5.09881670200739,0.916666666666667,2893.27272727273
"ctlk15","M","kinder","school4","school4_kinder","control_1","participant",1,3566,1,3362,1,2575,1,2484,1,2092,1,1932,1,2307,1,1930,1,1577,1,1647,1,2145,1,841,0,2221,1,6331,1,1837,1,7771,1,2098,1,2125,1,7128,1,2176,1,1397,1,1447,1,1259,1,2094,5.78964598486187,0.958333333333333,2700.91304347826
"ctlk16","F","kinder","school4","school4_kinder","control_1","participant",1,5085,1,4948,1,1431,1,1212,1,2095,1,1447,1,1809,1,2277,1,1385,1,1816,1,2466,1,4076,1,3760,1,1692,1,1259,1,1482,1,1629,1,4241,1,5376,1,1621,1,1441,1,1155,1,5089,1,3359,6.40617418123236,1,2589.625
"ctlk17","F","kinder","school4","school4_kinder","control_1","participant",1,3098,1,2519,1,1326,1,2456,1,1735,1,2984,1,1338,1,1273,1,2550,1,1583,1,1283,1,1183,1,3256,1,1808,1,2888,1,2122,1,3177,1,2600,1,1891,1,2089,1,2956,1,5260,1,6103,1,2311,5.64194524141255,1,2491.20833333333
"ctlk18","M","kinder","school4","school4_kinder","control_1","participant",0,2541,1,2947,1,1945,1,1510,1,2070,1,1611,1,2847,1,1916,1,1227,1,1751,1,1547,1,1172,1,3122,0,1407,0,935,0,2277,0,1835,1,4271,0,1359,0,2226,1,1185,1,1728,1,952,1,1684,3.54166666666667,0.708333333333333,1969.70588235294
"ctl2k01","M","kinder","school5","school5_kinder","control_2","participant",1,7255,1,2347,1,4445,1,1593,1,1742,1,1064,1,918,1,2555,1,885,1,518,0,483,1,1431,1,1929,1,1422,1,1901,1,842,1,2873,1,1262,1,1029,0,767,1,1554,1,1084,1,1008,1,784,6.65779815342709,0.916666666666667,1838.22727272727
"ctl2k02","M","kinder","school5","school5_kinder","control_2","participant",1,3201,1,2945,1,1618,1,1372,1,4414,1,1544,1,3864,1,1466,1,2040,1,1118,1,2054,1,1114,1,8990,1,2782,1,2093,1,2986,1,3419,1,1578,1,2317,1,1525,1,1932,1,2601,1,1103,1,1682,6.06665260754457,1,2489.91666666667
"ctl2k03","F","kinder","school5","school5_kinder","control_2","participant",1,3468,1,2008,1,1784,1,2241,1,2102,1,2481,1,1268,1,2277,1,1798,1,1994,1,3726,1,1141,1,2492,1,1511,1,2853,1,9472,1,7447,1,3444,1,2429,1,2214,1,2485,1,1884,1,1238,1,3074,5.79165216105839,1,2784.625
"ctl2k04","M","kinder","school5","school5_kinder","control_2","participant",1,1645,1,2787,1,1451,1,1737,1,1686,1,2145,1,1621,1,1771,1,1497,1,1496,1,1034,1,1357,0,4102,0,3790,0,1600,0,1185,1,9826,1,1692,1,1335,1,1360,0,1174,0,880,1,1152,1,1248,3.75,0.75,2046.66666666667
"ctl2k05","M","kinder","school5","school5_kinder","control_2","participant",1,5915,0,2396,1,6561,1,1386,1,1602,1,1604,1,1604,1,1546,1,1426,1,2216,1,2588,1,1431,1,3938,1,1571,1,1473,1,1284,1,1560,1,1830,1,1854,1,1581,1,3065,1,1550,1,1547,1,1875,6.5423465173841,0.958333333333333,2217.69565217391
"ctl2k06","F","kinder","school5","school5_kinder","control_2","participant",0,9635,1,3124,1,1953,1,1949,1,1445,1,2705,1,5003,1,2146,1,1275,1,1042,1,1905,1,1519,1,1539,1,1888,1,1598,1,1468,1,1659,1,1956,1,4367,1,1397,1,1773,1,1472,1,2234,1,1732,6.25932812069719,0.958333333333333,2049.95652173913
"ctl2k07","M","kinder","school5","school5_kinder","control_2","participant",1,5301,1,5026,1,3761,1,3004,1,4659,1,2620,1,3291,1,2562,1,3094,1,2505,1,2128,1,2066,1,2622,1,2228,1,2233,1,2233,1,3155,1,1998,1,1732,1,2077,0,1873,1,2319,1,2778,1,1943,5.23208316202796,0.958333333333333,2840.65217391304
"ctl2k08","F","kinder","school5","school5_kinder","control_2","participant",1,3934,1,3240,1,1213,1,880,1,938,1,13069,1,2553,1,1245,1,1491,1,1865,1,1619,1,1471,1,2231,1,2078,1,2122,1,1883,1,1410,1,1424,1,1227,0,2166,0,2188,1,2159,1,2020,1,894,6.30455659059997,0.916666666666667,1804.61904761905
"ctl2k09","F","kinder","school5","school5_kinder","control_2","participant",1,2063,1,2135,1,3706,1,1836,1,1739,1,1759,1,1258,1,2033,1,1457,1,1451,1,1403,1,1823,1,1921,1,1287,1,1358,1,2965,1,2272,1,1471,1,1803,1,2388,0,1939,0,3474,1,2344,1,1126,5.98873781296579,0.916666666666667,1890.81818181818
