"id","sex","grade","school","ed_level","attendence","condition2","cond_grade2","time","corsi","hnf","dccs","woodcock","tejas","time_lab","ed_level_c"
"digk19","M","kinder","school2",2,22,"digital","digital_kinder",1,2,5.85935608635506,6.02874057962778,59,31,"post",1
"digk20","F","kinder","school2",3,24,"digital","digital_kinder",0,3,3.07117006929544,6.59238618766837,46,36,"pre",2
"digk20","F","kinder","school2",3,24,"digital","digital_kinder",1,6,5.82712609276739,7.54651297026066,54,39,"post",2
"digk22","F","kinder","school2",2,18,"digital","digital_kinder",0,4,3.35858585858586,6.55884843137737,46,29,"pre",1
"digk22","F","kinder","school2",2,18,"digital","digital_kinder",1,6,6.14114040020047,7.00777829908589,56,37,"post",1
"digk23","M","kinder","school2",3,20,"digital","digital_kinder",0,0,1.84343434343434,3.95833333333333,31,27,"pre",2
"digk23","M","kinder","school2",3,20,"digital","digital_kinder",1,2,3.11868686868687,5.98412405639081,32,21,"post",2
"mix501","M","fifth","school3",1,20,"mixed","mixed_fifth",0,7,7.68436375344886,6.88597478061368,68,59,"pre",0
"mix501","M","fifth","school3",1,20,"mixed","mixed_fifth",1,16,8.23811044110433,8.85183478348526,70,68,"post",0
"mix502","F","fifth","school3",2,19,"mixed","mixed_fifth",0,4,7.70894815054898,7.15330720656216,70,55,"pre",1
"mix502","F","fifth","school3",2,19,"mixed","mixed_fifth",1,7,7.9296388373255,7.17726059941095,70,61,"post",1
"mix503","F","fifth","school3",1,21,"mixed","mixed_fifth",0,4,7.28101954439193,3.75,61,55,"pre",0
"mix503","F","fifth","school3",1,21,"mixed","mixed_fifth",1,5,5.44197168651805,7.08622691604385,65,61,"post",0
"mix504","F","fifth","school3",3,24,"mixed","mixed_fifth",0,7,7.59244891914253,7.00300730607426,67,70,"pre",2
"mix504","F","fifth","school3",3,24,"mixed","mixed_fifth",1,7,7.7392749786354,7.91093330731253,71,70,"post",2
