"id","sex","grade","school","class_id","condition","eval_pre","eval_post","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence"
"digk09","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",75.6,"2","F","F","F","NA",NA,18
"digk10","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",75.6666666666667,"2","F","F","F","NA",NA,19
"digk11","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",77.5,"2","F","F","F","NA",NA,21
"digk12","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",76,"2","F","F","F","NA",NA,15
"digk13","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",73.2666666666667,"4","F","F","F","NA",NA,24
"digk14","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",67.1666666666667,"4","F","F","F","NA",NA,18
"digk15","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",67.7666666666667,"2","F","F","F","NA",NA,20
"digk16","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",74,"3","F","T","T","sports",60,22
"digk17","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",70.7333333333333,"2","F","F","T","dance",60,22
"digk18","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",68.9333333333333,"1","F","F","F","NA",NA,22
"digk19","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",75.1666666666667,"2","F","F","F","NA",NA,22
"digk20","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",72.8,"3","F","F","F","NA",NA,24
"digk21","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","atypical",77.5666666666667,"2","F","F","F","NA",NA,11
"digk22","F","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",79.4333333333333,"2","F","F","F","NA",NA,18
"digk23","M","kinder","school2","school2_kinder","digital","evaluated","evaluated","participant",68.4333333333333,"3","F","F","F","NA",NA,20
"mix501","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",121.733333333333,"1","F","F","F","NA",NA,20
"mix502","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",130.4,"2","F","F","F","NA",NA,19
"mix503","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",122.066666666667,"1","F","F","F","NA",NA,21
"mix504","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",132.866666666667,"3","F","F","F","NA",NA,24
"mix505","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",136.466666666667,"2","F","F","F","NA",NA,22
"mix506","M","fifth","school3","school3_fifth","mixed",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"mix507","M","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",130.533333333333,"1","F","F","F","NA",NA,22
"mix508","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",132.1,"1","F","F","F","NA",NA,17
"mix509","F","fifth","school3","school3_fifth","mixed","evaluated","evaluated","participant",146.466666666667,"2","F","F","F","NA",NA,18
