"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctlk11","M","kinder","school4","school4_kinder","control_1","participant",1,2826,1,3342,1,2426,1,1621,1,3785,1,1092,1,2492,1,3466,1,3954,1,1294,1,1885,1,2472,1,3933,1,1104,1,1767,1,2681,1,1875,1,2628,1,2254,1,1065,1,2249,1,1671,1,2272,1,1691,5.78671531212326,1,2326.875
"ctlk12","M","kinder","school4","school4_kinder","control_1","participant",1,3745,1,2438,1,2388,1,4125,1,2114,0,1384,1,2533,1,1910,1,4051,1,5462,1,2051,1,1892,1,8568,1,4189,1,1947,1,1558,1,4137,1,5082,1,3948,1,2790,1,2219,1,2618,1,4889,1,3590,4.99417904090321,0.958333333333333,3401.91304347826
"ctlk13","F","kinder","school4","school4_kinder","control_1","participant",1,2536,1,2344,1,2037,1,1644,1,1675,1,1754,1,1552,1,5614,1,2280,1,2740,1,2182,1,1951,0,4883,1,6230,1,4557,1,1632,0,1431,1,4586,1,3448,1,4527,1,2298,1,3039,1,7421,1,4507,5.15990137416533,0.916666666666667,3207
"ctlk14","M","kinder","school4","school4_kinder","control_1","participant",1,2701,1,2774,1,6410,1,2703,1,4894,1,4146,1,2156,1,3721,1,4558,1,3129,1,3098,1,2851,1,6366,0,1808,0,3261,1,1798,1,2197,1,3173,1,1592,1,1886,1,2536,1,1286,0,1281,1,5234,4.51715769363151,0.875,3295.66666666667
"ctlk15","M","kinder","school4","school4_kinder","control_1","participant",1,3794,1,3514,1,12430,1,6555,1,1880,1,1653,1,28316,1,3241,1,29666,1,43917,1,1006,1,1597,0,5463,1,2439,1,2708,1,7813,0,17049,0,4945,0,14588,1,1577,0,2511,0,5271,0,2254,1,6437,3.54166666666667,0.708333333333333,3401.07692307692
"ctlk16","F","kinder","school4","school4_kinder","control_1","participant",1,3981,1,1890,1,1569,1,3585,1,1454,1,1747,1,3247,1,2205,1,727,1,954,1,1006,1,6511,1,1706,1,1170,1,2139,1,1203,1,1074,1,7156,1,15164,1,2412,1,1058,1,1114,1,1412,1,4136,6.57515796426015,1,2324.17391304348
"ctlk17","F","kinder","school4","school4_kinder","control_1","participant",1,3484,1,3122,1,4072,1,1215,1,1209,1,3965,1,7546,1,5464,1,5275,1,1543,1,1889,1,3833,1,4535,1,10664,1,2151,1,2480,1,3668,1,7703,1,14823,1,4866,1,3626,1,3625,1,2018,1,2540,5,1,3628.59090909091
"ctlk18","M","kinder","school4","school4_kinder","control_1","participant",1,1581,1,1553,1,1143,1,1116,1,1212,1,813,1,774,1,1518,1,1780,1,3626,1,884,1,1614,0,1569,1,1368,0,924,1,1337,0,1207,1,1777,1,1031,0,1139,1,1079,0,859,1,2287,1,971,3.95833333333333,0.791666666666667,1445.47368421053
"ctl2k01","M","kinder","school5","school5_kinder","control_2","participant",1,10171,1,3669,1,2090,1,3559,1,2320,1,1729,1,1163,1,1084,1,1769,1,4722,1,2259,1,1590,1,10680,1,2714,1,2444,1,7854,1,2667,1,6024,1,3840,1,4319,1,2904,1,4581,1,2414,1,2019,5.44750534933967,1,3078.81818181818
"ctl2k02","M","kinder","school5","school5_kinder","control_2","participant",1,4871,1,15751,1,17512,1,8366,1,13190,1,19724,1,4106,0,53266,0,23024,0,3713,0,2687,0,2444,1,20193,1,3623,1,1131,1,1182,1,1193,1,1759,1,969,1,945,1,1868,1,1036,1,1141,1,828,3.95833333333333,0.791666666666667,2358.42857142857
